"Number","Sex","MaxL","HeadD","EpiB"
"MB1","F",296,NA,52
"MB2","F",303,40.15,NA
"MB3","F",NA,40.22,NA
"MB4","M",343,49.86,61
"MB5","F",326,38.89,50
"MB6","F",311,40.7,56
"MB7","M",310,42.89,49
"MB8","F",341,43,49.82
"MB9","F",297,38.56,53
"MB10","F",287,42.1,53
"MB11","F",348,42.18,58
"MB12","M",343,51.49,63
"MB13","M",308,50.38,71
"MB14","F",296,35.47,51
"MB15","M",329,44.81,60
"MB16","F",316,45.77,55
"MB17","F",297,NA,50
"MB18","M",341,48.49,61
"MB19","M",317,47.81,57
"MB20","F",304,39.32,58
"MB21","M",NA,NA,60
"MB22","M",NA,NA,64
"MB23","M",316,NA,NA
"MB24","M",364,56.61,70
"MB25","F",307,41.05,58
"MB26","M",350,50.32,62
"MB27","M",337,48.26,66
"MB28","F",315,43.23,59
"MB29","F",328,40.47,57
"MB30","M",351,50.47,NA
"MB31","M",317,45.93,63
"MB32","M",337,50.83,60
"MB33","F",317,42.99,57
"MB34","M",334,47.87,62
"MB35","F",313,43.71,NA
"MB36","F",338,42.15,54
"MB37","M",370,53.45,64
"MB38","F",283,38.63,54
"MB39","M",NA,NA,59
"MB40","M",346,49.31,70
"MB41","F",NA,NA,52
"MB42","F",282,40,53
"MB43","M",377,55.19,72
"MB44","F",331,48.74,64
"MB45","F",290,41.15,55
"MB46","F",291,41.07,52
"MB47","F",305,42.92,55
"MB48","F",327,42.07,57
"MB49","M",336,47.97,64
"MB50","F",293,43.25,52
"MB51","M",319,51.04,64
"MB52","M",319,51.95,66
"MB53","M",361,47.56,NA
"MB54","F",313,42.44,54
"MB55","F",338,42.63,57
"MB56","F",NA,NA,54
"MB57","F",293,40.81,50
"MB58","F",315,43.44,56
"MB59","F",324,41.91,62
"MB60","M",340,46.19,64
"MB61","F",316,40.6,56
"MB62","M",331,47.9,60
"MB63","F",339,42.17,55
"MB64","M",383,51.57,68
"MB65","M",308,NA,61
"MB66","F",300,41.25,60
"MB67","F",NA,NA,56
"MB68","F",331,42.24,57
"MB69","M",374,49.68,70
"MB70","F",334,48.19,61
"MB71","M",343,51.56,69
"MB72","F",322,43.94,55
"MB73","M",340,48.78,72
"MB74","F",311,40.94,55
"MB75","F",289,38.22,51
"MB76","M",353,49.53,68
"MB77","M",341,47.34,65
"MB78","M",NA,NA,64
"MB79","M",NA,NA,62
"MB80","M",350,48.15,59
"MB81","M",342,47.22,64
"MB82","F",NA,45.45,NA
"MB83","M",322,46.46,59
"MB84","M",NA,66,69
"MB85","F",315,NA,56
"MB86","M",322,51.35,64
"MB87","F",311,41.01,55
"MB88","M",371,50.24,63
"MB89","F",319,44.38,53
"MB90","F",306,39.09,59
"MB91","M",342,49.83,63
"MB92","F",286,41.23,54
"MB93","F",312,42.17,58
"MB94","M",314,45.65,65
"MB95","F",293,41.48,57
"MB96","F",374,39.9,54
"MB97","F",318,42.32,53
"MB98","F",294,40.86,49
"MB99","M",322,48.61,59
"MB100","F",298,41.02,57
"MB101","F",302,41.83,60
"MB102","M",333,51.8,58
"MB103","F",NA,NA,65
"MB104","F",316,44.62,NA
"MB105","F",304,41.29,53
"MB106","F",291,38.53,53
